epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,301.211,1.61072,1.07844,1.16862,0.78403,0.75048,0.69726,0.30306,1.91547,1.08698,1.38279,0.0014555,0.0014555,0.0014555
57,306.406,1.59932,1.07387,1.17107,0.7988,0.7351,0.69843,0.34838,1.66559,1.0732,1.27318,0.0014456,0.0014456,0.0014456
58,311.746,1.57544,1.05096,1.15997,0.76267,0.70917,0.65537,0.22793,2.37902,1.19743,1.6224,0.0014357,0.0014357,0.0014357
59,316.93,1.61328,1.06284,1.1636,0.77762,0.73404,0.68557,0.31249,1.91207,1.09165,1.37268,0.0014258,0.0014258,0.0014258
60,322.096,1.64067,1.08108,1.1855,0.78118,0.74804,0.69064,0.30106,1.90651,1.15883,1.36773,0.0014159,0.0014159,0.0014159
61,327.367,1.58831,1.0617,1.16577,0.79274,0.74262,0.69795,0.33063,1.742,1.08476,1.30406,0.001406,0.001406,0.001406
62,332.552,1.60708,1.05846,1.16936,0.79534,0.73087,0.69566,0.34675,1.61544,1.07941,1.25899,0.0013961,0.0013961,0.0013961
63,337.871,1.61377,1.06433,1.17612,0.81192,0.72626,0.70108,0.36484,1.528,1.10566,1.22791,0.0013862,0.0013862,0.0013862
64,343.063,1.6372,1.05327,1.17174,0.76856,0.73856,0.67233,0.2544,2.19317,1.12755,1.51232,0.0013763,0.0013763,0.0013763
65,348.335,1.59402,1.04963,1.17102,0.79576,0.74747,0.70744,0.36277,1.55635,1.08571,1.23399,0.0013664,0.0013664,0.0013664
66,353.492,1.58467,1.067,1.16124,0.78023,0.74253,0.67991,0.30212,1.93698,1.11304,1.37651,0.0013565,0.0013565,0.0013565
67,358.707,1.57055,1.03939,1.15657,0.75421,0.72857,0.66925,0.25021,2.27244,1.11057,1.56472,0.0013466,0.0013466,0.0013466
68,363.992,1.58831,1.06017,1.15819,0.791,0.7351,0.69028,0.32367,1.75888,1.13714,1.31476,0.0013367,0.0013367,0.0013367
