epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,178.06,1.77934,1.05156,0.96572,0.6653,0.70618,0.59231,0.21292,2.32508,1.40031,1.04451,0.0011585,0.0011585,0.0011585
87,180.096,1.75162,1.02446,0.96025,0.6959,0.68924,0.601,0.22467,2.31171,1.2843,1.04489,0.0011486,0.0011486,0.0011486
88,182.057,1.76027,1.03321,0.95763,0.71774,0.74967,0.64167,0.30039,1.76634,1.24616,0.95392,0.0011387,0.0011387,0.0011387
89,183.99,1.75892,1.01169,0.96114,0.61645,0.65438,0.52498,0.14137,3.05359,1.92038,1.2104,0.0011288,0.0011288,0.0011288
90,186.042,1.76672,1.00732,0.96201,0.71549,0.72514,0.62741,0.27829,1.91707,1.2539,0.97694,0.0011189,0.0011189,0.0011189
91,187.977,1.80592,1.01833,0.95399,0.65907,0.71016,0.57548,0.19145,2.56872,1.56421,1.09626,0.001109,0.001109,0.001109
92,189.874,1.75258,1.01554,0.9609,0.7244,0.73855,0.63983,0.28548,1.90165,1.21026,0.97055,0.0010991,0.0010991,0.0010991
93,191.883,1.72567,1.03749,0.95394,0.68399,0.72859,0.61153,0.22352,2.40337,1.38099,1.06102,0.0010892,0.0010892,0.0010892
94,193.827,1.7303,1.01158,0.94886,0.66764,0.69327,0.5868,0.21335,2.45781,1.40671,1.07071,0.0010793,0.0010793,0.0010793
95,195.76,1.73447,1.01373,0.95423,0.69356,0.68526,0.59591,0.21606,2.48141,1.31113,1.07499,0.0010694,0.0010694,0.0010694
96,197.76,1.7412,1.00553,0.96214,0.69093,0.7256,0.60734,0.24546,2.14589,1.38647,1.01273,0.0010595,0.0010595,0.0010595
97,199.663,1.71742,1.03465,0.95665,0.67198,0.70219,0.57733,0.19468,2.63465,1.36463,1.11057,0.0010496,0.0010496,0.0010496
98,201.596,1.72,1.03506,0.95212,0.68581,0.68227,0.58574,0.2118,2.44097,1.32749,1.07154,0.0010397,0.0010397,0.0010397
99,203.637,1.70308,1.02006,0.95057,0.69343,0.70518,0.60355,0.24167,2.21899,1.27593,1.02495,0.0010298,0.0010298,0.0010298
100,205.596,1.70361,1.00885,0.94566,0.70826,0.70971,0.61524,0.25272,2.15615,1.2627,1.02287,0.0010199,0.0010199,0.0010199
101,207.496,1.72644,0.99959,0.95091,0.67289,0.68875,0.57968,0.2081,2.53405,1.61954,1.09303,0.00101,0.00101,0.00101
102,209.526,1.74287,1.00687,0.9557,0.69568,0.7261,0.60951,0.24048,2.30094,1.27804,1.03896,0.0010001,0.0010001,0.0010001
103,211.478,1.69871,1.01813,0.95576,0.71441,0.73357,0.6282,0.25814,2.1377,1.24361,1.01224,0.0009902,0.0009902,0.0009902
104,213.432,1.69839,1.00638,0.94539,0.7162,0.72709,0.6293,0.26443,2.09095,1.21351,1.00105,0.0009803,0.0009803,0.0009803
105,215.514,1.70037,1.02399,0.94194,0.72354,0.72076,0.62884,0.27387,1.99859,1.2321,0.98456,0.0009704,0.0009704,0.0009704
106,217.482,1.71088,1.01668,0.96317,0.69918,0.73954,0.62871,0.25342,2.32793,1.29852,1.04485,0.0009605,0.0009605,0.0009605
107,219.433,1.7353,1.00413,0.96198,0.6139,0.68653,0.54742,0.16169,2.84719,1.78418,1.15885,0.0009506,0.0009506,0.0009506
108,221.541,1.74695,1.01052,0.95674,0.67654,0.71663,0.59164,0.20869,2.49827,1.36502,1.07772,0.0009407,0.0009407,0.0009407
109,223.557,1.70995,1.01526,0.94888,0.70193,0.74354,0.62818,0.27008,1.98007,1.22451,0.98003,0.0009308,0.0009308,0.0009308
110,225.584,1.70803,0.99828,0.94493,0.67129,0.69057,0.5813,0.19831,2.5053,1.30812,1.07341,0.0009209,0.0009209,0.0009209
111,227.723,1.70976,0.99335,0.93882,0.6587,0.69821,0.57052,0.20459,2.5975,1.51115,1.10494,0.000911,0.000911,0.000911
112,229.714,1.71069,1.00991,0.94808,0.69485,0.71763,0.60323,0.22511,2.46951,1.27292,1.07153,0.0009011,0.0009011,0.0009011
113,231.735,1.72868,1.00448,0.94455,0.70912,0.73755,0.63554,0.27522,2.04967,1.20779,0.9948,0.0008912,0.0008912,0.0008912
