epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,311.09,0.69398,0.48025,0.11335,0.72143,0.749,0.66842,0.29017,0.71631,0.53705,0.13856,0.0014654,0.0014654,0.0014654
56,316.718,0.69395,0.48221,0.11072,0.71486,0.76345,0.67981,0.31051,0.70126,0.53234,0.13072,0.0014555,0.0014555,0.0014555
57,322.211,0.71059,0.46919,0.11255,0.70456,0.76246,0.66898,0.29365,0.70873,0.56516,0.14087,0.0014456,0.0014456,0.0014456
58,327.656,0.6936,0.47705,0.11773,0.71573,0.75249,0.67196,0.30133,0.72626,0.53075,0.14362,0.0014357,0.0014357,0.0014357
59,333.171,0.69344,0.47194,0.113,0.70418,0.76992,0.66407,0.29753,0.72248,0.52247,0.13995,0.0014258,0.0014258,0.0014258
60,338.665,0.69218,0.48576,0.11196,0.71358,0.7754,0.67851,0.31756,0.68563,0.53514,0.12829,0.0014159,0.0014159,0.0014159
61,344.177,0.69953,0.47951,0.10927,0.70563,0.74502,0.64407,0.25239,0.75741,0.5379,0.15891,0.001406,0.001406,0.001406
62,349.845,0.71403,0.47968,0.12799,0.6805,0.72859,0.61338,0.19478,0.85261,0.52973,0.19451,0.0013961,0.0013961,0.0013961
63,355.359,0.68428,0.47812,0.11492,0.72052,0.76992,0.68073,0.30933,0.70837,0.52003,0.14265,0.0013862,0.0013862,0.0013862
64,361.045,0.68896,0.48114,0.11104,0.71929,0.7478,0.67534,0.30565,0.71638,0.52581,0.13747,0.0013763,0.0013763,0.0013763
65,366.689,0.68767,0.47428,0.11168,0.71892,0.75249,0.67045,0.28733,0.72055,0.55883,0.14303,0.0013664,0.0013664,0.0013664
66,372.248,0.69485,0.47782,0.11873,0.69994,0.75498,0.65004,0.23617,0.77985,0.54333,0.17139,0.0013565,0.0013565,0.0013565
67,377.772,0.7025,0.47351,0.11803,0.71623,0.75417,0.67155,0.30072,0.71764,0.53617,0.13377,0.0013466,0.0013466,0.0013466
